movie_id,title,original_title,overview,tagline,status,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,genres,production_countries,imdb_id
155,The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Welcome to a world without rules.,Released,2008-07-16,152,185000000,1004558444,33.3577,8.527,35300,en,Action|Crime|Thriller,GB|US,tt0468569
621742,The Obituary of Tunde Johnson,The Obituary of Tunde Johnson,"A wealthy, Nigerian-American teenager is pulled over by police, shot to death, and immediately awakens, trapped in a terrifying time loop that forces him to confront difficult truths about his life and himself.",,Released,2019-09-08,104,0,0,21.6691,5.239,23,en,Drama|Thriller,US,tt8815382
1223601,Sisu: Road to Revenge,Sisu 2,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.","When they took his family, he took revenge.",Released,2025-10-21,89,12200000,9724644,33.4059,7.3,588,fi,Action|War,FI|GB,tt31844586
19995,Avatar,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the world of Pandora.,Released,2009-12-16,162,237000000,2923706026,32.9964,7.6,33576,en,Action|Adventure|Science Fiction,US|GB,tt0499549
1246049,Dracula,Dracula,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.","He renounced his faith to become immortal. Passion, anger, vengeance, and hatred will be unleashed into the modern world.",Released,2025-07-30,130,52000000,33593404,34.0912,7.1,926,fr,Horror|Fantasy|Romance,FR,tt31434030
4232,Scream,Scream,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",Someone has taken their love of scary movies one step too far. Solving this mystery is going to be murder.,Released,1996-12-20,112,14000000,173046663,32.6633,7.427,7753,en,Crime|Horror|Mystery,US,tt0117571
238,The Godfather,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",An offer you can't refuse.,Released,1972-03-14,175,6000000,245066411,32.5551,8.688,22560,en,Drama|Crime,US,tt0068646
1258151,Kraken,Кракен,"A Russian missile submarine disappears without trace during a secret mission in the Greenland Sea. A vessel is deployed to search for it, captained by the brother of the missing submarine’s commander. The search crew is tasked with locating the submarine and preventing a top-secret weapon from falling into enemy hands. Meanwhile, a geological research operation at the North Pole awakens the Kraken, a giant deep-water monster with an incredible ability to camouflage and an uncanny intelligence. As the search party narrows in on the missing submarine, they will encounter the legendary creature of the deep.",,Released,2025-04-17,134,0,0,32.5054,6.3,43,ru,Science Fiction|Adventure|Drama,RU,tt28364592
628847,Trap House,Trap House,"An undercover DEA agent and his partner embark on a game of cat and mouse with an audacious, and surprising group of thieves – their own rebellious teenagers, who have begun robbing from a dangerous cartel, using their parents' tactics and top-secret intel to do it.",This isn't a raid. It's a reckoning.,Released,2025-11-14,101,0,0,35.587,6.5,228,en,Action|Crime|Thriller,GB|US,tt10799690
1315303,Primate,Primate,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",Something's wrong with Ben.,Released,2026-01-01,89,21000000,41384372,32.2361,6.563,450,en,Horror|Thriller,US,tt33028778
1242937,The Dreadful,The Dreadful,"In medieval England, Anne and her domineering mother-in-law Morwen struggle to survive on the outskirts of society. But when a man from Anne's past returns from war, a curse begins to take shape through a mysterious knight and threatens to destroy them all.","In a country torn by war, survival comes at all costs… and darkness closes in.",Released,2026-02-20,94,0,0,32.215,6.6,49,en,Horror,US,tt30842022
1363123,The Family Plan 2,The Family Plan 2,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.","Deck the halls, dodge the bad guys.",Released,2025-11-11,106,0,0,32.1535,6.545,511,en,Action|Comedy,US,tt34276058
879945,The Unknown Man,L'homme inconnu,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",,Released,2021-10-16,23,0,0,32.0777,8.5,2,nl,Drama,BE|FR,tt16288638
27205,Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,Released,2010-07-15,148,160000000,839030630,31.6884,8.371,38810,en,Action|Science Fiction|Adventure,GB|US,tt1375666
1631485,Strangers in the Park,Parque Lezama,"A former communist militant and a ""live and let live"" man form an unlikely friendship on a park bench, sharing their life stories with humor and heart.",Sometimes it’s good to talk to strangers.,Released,2026-02-19,115,0,0,30.1974,6.5,4,es,Comedy|Drama,AR,tt34682220
1381027,The Good Boy,The Good Boy,"Tommy, a volatile 19-year-old, revels in drugs, parties and violence. After getting separated from his friends on a drunken bender, he is abducted by a shadowy figure. He wakes to find himself imprisoned in the basement of a remote Yorkshire house, inhabited by a very strange family. But what unfolds is not what he could possibly expect.",Some people only learn the hard way.,Released,2026-03-06,110,0,0,30.1133,8.5,10,en,Thriller|Drama|Mystery|Horror,GB|PL,tt34381258
967941,Wicked: For Good,Wicked: For Good,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",You will be changed.,Released,2025-11-19,137,150000000,524676531,29.8941,6.642,856,en,Fantasy|Adventure|Romance,US,tt19847976
1241470,Osiris,Osiris,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",Earth’s deadliest soldiers just became the galaxy’s last hope.,Released,2025-07-25,108,0,0,29.8745,5.967,196,en,Science Fiction|Action|Horror,US,tt31179712
1228246,Five Nights at Freddy's 2,Five Nights at Freddy's 2,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",You there?,Released,2025-12-03,104,36000000,239502619,29.7038,6.681,799,en,Horror|Thriller,US,tt30274401
533535,Deadpool & Wolverine,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Come together.,Released,2024-07-24,128,200000000,1338073645,29.6396,7.556,8341,en,Action|Comedy|Science Fiction,US,tt6263850
934433,Scream VI,Scream VI,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",New York. New rules.,Released,2023-03-08,123,33000000,169063850,29.6045,6.962,3077,en,Horror|Thriller|Crime,US,tt17663992
