adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/oBBtZHbtLt8wOHemA9Qv8hzcqng.jpg,"[35, 10749]",55960,it,"Totò, Peppino e la... malafemmina","Antonio, Peppino and Lucia are three brothers who live in the country near Naples. Lucia's son, Gianni, goes to Naples to study medicine, but there he knows a ballet dancer. They fall in love and, when she goes to Milan, Gianni follows her. Informed of this and afraid that their nephew will stop studying, the three Caponi brothers leave for Milan to persuade Gianni to come back and continue studying and abandon the ""Malafemmina"" (bad girl).",1.6027,/jHe65nUmr2DBuzEAAkuiFbUssYT.jpg,1956-08-23,"Toto, Peppino, and the Hussy",False,7.999,370
False,/aH63TQfTFgAT8tYZs0CjDsqfMo2.jpg,"[18, 35]",400928,en,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",5.8167,/9Ts7Vc4wLlpI9oox9mkVUE1tBHy.jpg,2017-04-07,Gifted,False,7.998,5864
False,/cGV6R2vzT4TYIabf3JgmrOISQ0y.jpg,"[18, 53]",264644,en,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",8.5263,/2hHDMeYyZjbGWn0BeNH1cTMxuM7.jpg,2015-10-16,Room,False,7.997,9592
False,/6wiz1IqKpmMteGIX77hUFvjsd5L.jpg,[18],526702,en,Black Beauty,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",2.3463,/5ZjMNJJabwBEnGVQoR2yoMEL9um.jpg,2020-11-27,Black Beauty,False,7.996,351
False,/48v92pR5a1JeczlrCwnr1eQBN2j.jpg,"[16, 10751, 10749, 35]",140420,en,Paperman,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,3.4625,/9tvF744hwTm2Bn9hkDjMfEsysKz.jpg,2012-11-02,Paperman,False,7.996,1779
False,/8gT3UKtglLVpu0YfccwbmXZ5Eis.jpg,"[18, 35]",20453,hi,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",5.0086,/66A9MqXOyVFCssoloscw79z8Tew.jpg,2009-12-23,3 Idiots,False,8.0,2653
False,/z30x999Uku15xcFbe5s3hLvQPDl.jpg,"[12, 36, 10752]",947,en,Lawrence of Arabia,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.",7.2044,/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg,1962-12-11,Lawrence of Arabia,False,7.994,3355
False,/zP6pqpSRRiOCjjC5oWKZKkHqoSB.jpg,[18],595,en,To Kill a Mockingbird,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.",5.2698,/gZycFUMLx2110dzK3nBNai7gfpM.jpg,1962-12-20,To Kill a Mockingbird,False,7.994,2815
False,/lTyikzfGgRX5ZqIfVeT26APYfRL.jpg,"[35, 10752, 18]",515001,en,Jojo Rabbit,"Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity.",6.0652,/7GsM4mtM0worCtIVeiQt28HieeN.jpg,2019-10-18,Jojo Rabbit,False,7.992,10241
False,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,"[80, 18]",524,en,Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",13.9222,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,1995-11-22,Casino,False,8.0,6411
False,/cMfokHWle5lfCreoV08cbmkKv6G.jpg,"[16, 878, 12, 10751]",698687,en,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",10.4564,/iRCgqpdVE4wyLQvGYU3ZP7pAtUc.jpg,2024-09-11,Transformers One,False,7.99,1527
False,/zZCQs3tCkXLmZwArIsycQ5oby95.jpg,"[18, 10749]",8422,it,Rocco e i suoi fratelli,"When a impoverished widow’s family moves to the big city, two of her five sons become romantic rivals with deadly results.",11.7705,/pngL8AraChIDOiWnKF2o3S9kJzJ.jpg,1960-10-07,Rocco and His Brothers,False,8.0,648
False,/ctckqAvz9aTZDtfXLmDUdMflesU.jpg,[18],785534,tr,Kağıttan Hayatlar,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",1.3299,/cmru6N6Hnw2pJwuo1ctH1CxKqKZ.jpg,2021-03-12,Paper Lives,False,7.989,407
False,/1XF9ugYliCBWkXI2dCWAjRb1jvY.jpg,[35],678580,es,El mesero,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,0.6119,/zvGC5jX5wQmU1GgPc0VGZz7Mtcs.jpg,2021-07-15,El mesero,False,7.989,356
False,/okdg55jhsr9k1F2lxsZoQncrLZL.jpg,"[18, 10749, 10752, 36]",3175,en,Barry Lyndon,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",12.9625,/znfLskGQnXYB2xcOGM9eInRHPAV.jpg,1975-12-18,Barry Lyndon,False,8.0,3111
False,/KKrsUGDXZfpeL3ddXTeGibmUHS.jpg,"[16, 18, 36]",339877,en,Loving Vincent,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,7.3849,/56sq57kDm7XgyXBYrgJLumo0Jac.jpg,2017-06-22,Loving Vincent,False,7.987,2576
False,/gLQoJ9P79g501oEEtrN8zMlCPpx.jpg,"[36, 18, 53, 10752]",205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",10.8604,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014-11-14,The Imitation Game,False,7.987,17875
False,/5Ls2O8NnH8PR21Yqh0u7PU8GPtk.jpg,[18],19426,it,Le notti di Cabiria,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",9.1949,/xF4oCG3PLNbcrtPZbqB3BtkIbKg.jpg,1957-10-03,Nights of Cabiria,False,7.986,847
False,/1uyDZmTjUQsbflqfkUJZvAGV3bv.jpg,[18],13223,en,Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",10.6424,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,2008-12-12,Gran Torino,False,7.987,11388
False,/2lBOQK06tltt8SQaswgb8d657Mv.jpg,"[10752, 36]",530915,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",7.4503,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,2019-12-25,1917,False,7.986,13341
False,/ize3ZieqSy0TCWljmVoEiy8fSFS.jpg,"[16, 18, 14, 10749]",568160,ja,天気の子,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",10.8553,/qgrk7r1fV4IjuoeiGS5HOhXNdLJ.jpg,2019-07-19,Weathering with You,False,8.0,2573
False,/cFgCf2XqnhErS3HmgSOBCe4kL4d.jpg,"[18, 36]",780,fr,La Passion de Jeanne d'Arc,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",7.7373,/tAgV9yxY6AC1bsPt3qJJQpD4s8.jpg,1928-04-21,The Passion of Joan of Arc,False,7.984,1069
False,/oqaKsofz49zjNhi48sxQIq8U73X.jpg,"[28, 12, 18, 36, 10752]",11658,ko,태극기 휘날리며,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",2.4126,/vyG8qpimh3XSlxc6OmPq8LJRJl.jpg,2004-02-05,Tae Guk Gi: The Brotherhood of War,False,7.983,754
False,/gCD0eMZW1pUitLzH93WYWJYQgGk.jpg,[18],2517,ja,誰も知らない,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",6.1897,/kDUUdWrbBBVqzSmm27pHFJcTvCU.jpg,2004-08-07,Nobody Knows,False,7.981,621
False,/4datX8btikWEikf7esqEe6fhw.jpg,"[16, 10749, 35]",455661,en,In a Heartbeat,A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.,0.9324,/wJUJROdLOtOzMixkjkx1aaZGSLl.jpg,2017-06-01,In a Heartbeat,False,7.982,1016
