movie_id,person_id,name,job,department
264644,551482,Stephen Rennicks,Original Music Composer,Sound
526702,1168139,Ashley Avis,Director,Directing
526702,4017,Robert Kulzer,Producer,Production
526702,4016,Jeremy Bolt,Producer,Production
526702,1168139,Ashley Avis,Screenplay,Writing
526702,75575,Genevieve Hofmeyr,Producer,Production
526702,1157046,Guillaume Roussel,Original Music Composer,Sound
140420,8020,John Kahrs,Director,Directing
140420,1112517,Kristina Reed,Producer,Production
140420,23486,Christophe Beck,Original Music Composer,Sound
20453,85675,Rajkumar Hirani,Director,Directing
20453,85675,Rajkumar Hirani,Screenplay,Writing
20453,99710,Vidhu Vinod Chopra,Producer,Production
20453,99710,Vidhu Vinod Chopra,Screenplay,Writing
20453,123314,Shantanu Moitra,Original Music Composer,Sound
20453,2232718,Sanjay Wandrekar,Original Music Composer,Sound
20453,1784378,Atul Raninga,Original Music Composer,Sound
20453,123313,Abhijat Joshi,Screenplay,Writing
947,12238,David Lean,Director,Directing
947,13317,Robert Bolt,Screenplay,Writing
947,13267,Michael Wilson,Screenplay,Writing
947,6594,Sam Spiegel,Producer,Production
947,2704,Maurice Jarre,Original Music Composer,Sound
595,6349,Alan J. Pakula,Producer,Production
595,8482,Robert Mulligan,Director,Directing
595,8483,Horton Foote,Screenplay,Writing
595,7182,Elmer Bernstein,Original Music Composer,Sound
595,8487,Gregory Peck,Producer,Production
595,8485,Harper Lee,Producer,Production
595,8482,Robert Mulligan,Producer,Production
515001,55934,Taika Waititi,Director,Directing
515001,55934,Taika Waititi,Screenplay,Writing
515001,1550516,Carthew Neal,Producer,Production
515001,55934,Taika Waititi,Producer,Production
515001,1409486,Chelsea Winstanley,Producer,Production
515001,15347,Michael Giacchino,Original Music Composer,Sound
524,1032,Martin Scorsese,Screenplay,Writing
524,7163,Nicholas Pileggi,Screenplay,Writing
524,7170,Barbara De Fina,Producer,Production
524,1032,Martin Scorsese,Director,Directing
698687,1516079,Aaron Dem,Producer,Production
698687,865,Michael Bay,Producer,Production
698687,10994,Tom DeSanto,Producer,Production
698687,3183,Don Murphy,Producer,Production
698687,1360012,Gabriel Ferrari,Screenplay,Writing
698687,579281,Eric Pearson,Screenplay,Writing
698687,1123885,Andrew Barrer,Screenplay,Writing
698687,10952,Lorenzo di Bonaventura,Producer,Production
698687,84496,Josh Cooley,Director,Directing
698687,24309,Mark Vahradian,Producer,Production
698687,6041,Brian Tyler,Original Music Composer,Sound
8422,15127,Luchino Visconti,Director,Directing
8422,3098,Nino Rota,Original Music Composer,Sound
8422,15127,Luchino Visconti,Screenplay,Writing
8422,15133,Goffredo Lombardo,Producer,Production
8422,24658,Suso Cecchi d'Amico,Screenplay,Writing
8422,32048,Enrico Medioli,Screenplay,Writing
8422,53657,Pasquale Festa Campanile,Screenplay,Writing
8422,31604,Massimo Franciosa,Screenplay,Writing
785534,1876416,Can Ulkay,Director,Directing
