movie_id,person_id,job
841755,204553,Director
841755,1183647,Original Music Composer
841755,1374902,Original Music Composer
841755,105642,Producer
389868,1136456,Producer
389868,939147,Director
389868,1077558,Producer
389868,939147,Producer
389868,69086,Original Music Composer
253235,28780,Screenplay
253235,3026,Director
253235,6890,Producer
253235,27541,Producer
253235,3026,Producer
253235,9251,Original Music Composer
11867,43675,Producer
11867,40832,Producer
11867,6887,Producer
11867,70792,Director
11867,35838,Original Music Composer
11867,20757,Screenplay
11867,4749,Screenplay
60175,11201,Director
151368,118303,Director
151368,17003,Producer
151368,17603,Producer
151368,968298,Producer
151368,1330882,Original Music Composer
972614,41331,Producer
972614,1478495,Producer
972614,2362199,Producer
972614,3539042,Producer
972614,2232,Director
972614,22047,Original Music Composer
972614,2232,Producer
566454,71506,Director
566454,66852,Producer
566454,66853,Producer
566454,1055900,Producer
72478,566109,Director
72478,1610569,Producer
72478,566111,Original Music Composer
72478,566109,Screenplay
88042,1081907,Screenplay
88042,7904,Producer
88042,9251,Original Music Composer
88042,1081906,Screenplay
88042,935717,Producer
88042,266920,Producer
88042,58375,Director
352173,229252,Director
352173,87550,Original Music Composer
352173,1323051,Producer
352173,1705316,Producer
352173,2104588,Producer
352173,1527502,Screenplay
29963,10757,Director
29963,10758,Producer
29963,72898,Producer
29963,1317047,Original Music Composer
2453,18254,Director
2453,27007,Original Music Composer
2453,27005,Producer
2453,1108529,Producer
2453,27005,Screenplay
2453,7728,Original Music Composer
2453,27006,Producer
114750,1059571,Director
114750,1059571,Producer
114750,1059573,Producer
114750,1059574,Producer
114750,1059572,Producer
114750,67584,Producer
114750,1633454,Producer
114750,1059571,Screenplay
114750,1066327,Original Music Composer
122857,62941,Director
122857,62941,Screenplay
122857,213072,Screenplay
122857,1099075,Original Music Composer
122857,1099076,Original Music Composer
122857,1122169,Screenplay
122857,1170242,Original Music Composer
122857,56032,Producer
122857,57439,Producer
122857,14695,Producer
13166,36423,Director
13166,73501,Producer
13166,11957,Producer
13166,80341,Producer
13166,39032,Producer
13166,6114,Producer
13166,7478,Original Music Composer
970450,30058,Director
970450,1053661,Producer
970450,177136,Producer
970450,1672093,Original Music Composer
970450,989610,Original Music Composer
970450,1770856,Original Music Composer
581577,78118,Director
581577,1769913,Producer
581577,1769910,Producer
581577,1994267,Producer
581577,1417526,Screenplay
581577,41572,Original Music Composer
581577,1180402,Original Music Composer
581577,1417526,Producer
581577,78118,Producer
581577,23430,Producer
581577,2518561,Producer
253310,5665,Director
253310,1031656,Original Music Composer
253310,1336499,Screenplay
253310,57175,Producer
253310,5665,Screenplay
253310,554,Producer
336011,1454850,Director
336011,1641320,Producer
28089,34110,Director
28089,99665,Producer
28089,99666,Producer
28089,6048,Producer
28089,2863,Original Music Composer
610120,1127903,Producer
610120,4762,Director
610120,4762,Producer
610120,1236222,Producer
610120,1339432,Producer
610120,74336,Original Music Composer
22051,100516,Director
22051,236605,Producer
22051,1057657,Producer
22051,1102578,Producer
22051,1102579,Producer
22051,64179,Producer
22051,236604,Producer
22051,49911,Original Music Composer
43629,556,Producer
43629,558,Original Music Composer
43629,1392627,Producer
43629,525,Director
203101,1512708,Producer
203101,1148353,Director
976734,35453,Director
976734,67159,Producer
976734,2230993,Producer
976734,2858152,Producer
976734,1016150,Producer
976734,4197900,Original Music Composer
38961,121000,Screenplay
38961,3224,Director
38961,15727,Producer
38961,37756,Producer
38961,2949,Original Music Composer
38961,55418,Producer
254578,2332,Director
254578,2335,Producer
254578,2336,Original Music Composer
254578,2334,Producer
254578,2332,Screenplay
39356,55934,Director
39356,1671689,Original Music Composer
39356,1671690,Original Music Composer
39356,55941,Producer
39356,7248,Producer
39356,55940,Producer
39356,1671688,Original Music Composer
473149,119419,Director
473149,17767,Original Music Composer
485894,72197,Director
485894,72197,Screenplay
485894,235042,Screenplay
485894,87684,Screenplay
485894,993226,Producer
485894,87684,Producer
33997,46203,Director
21159,91788,Director
21159,91789,Director
21159,12415,Screenplay
21159,70567,Producer
21159,91788,Screenplay
21159,85942,Screenplay
21159,1440302,Screenplay
21159,4681,Original Music Composer
21159,4683,Original Music Composer
10617,26760,Director
10617,26760,Producer
10617,65957,Original Music Composer
10617,56811,Original Music Composer
10617,46323,Producer
967585,1186076,Director
967585,1123353,Producer
967585,1442950,Producer
967585,1306310,Producer
48254,83189,Screenplay
48254,67164,Screenplay
48254,5812,Screenplay
48254,83189,Director
48254,104807,Producer
48254,57301,Producer
48254,1850987,Original Music Composer
48254,1850986,Original Music Composer
48254,1850988,Original Music Composer
48254,3046543,Original Music Composer
48254,412408,Original Music Composer
48254,66818,Original Music Composer
48254,1664128,Original Music Composer
91342,34899,Producer
91342,80948,Director
91342,42304,Original Music Composer
1001865,1681145,Director
1001865,41286,Producer
1001865,2413044,Producer
1001865,3616,Original Music Composer
1001865,3616,Producer
1001865,2204038,Original Music Composer
1001865,3616,Screenplay
1001865,1681145,Screenplay
10447,5912,Original Music Composer
10447,65343,Screenplay
10447,65342,Screenplay
10447,10702,Director
10447,869,Producer
81342,1482491,Original Music Composer
81342,1008366,Director
81342,10907,Director
81342,20711,Producer
81342,20712,Producer
10118,63719,Producer
10118,61155,Producer
10118,63715,Producer
10118,63713,Director
10118,63720,Producer
10118,61647,Producer
10118,63718,Producer
10118,63717,Producer
10118,63726,Producer
10118,63729,Original Music Composer
10118,5958,Producer
458109,74343,Screenplay
458109,220331,Director
458109,1490497,Producer
458109,1102108,Original Music Composer
458109,2020095,Producer
524216,2042579,Producer
524216,1126641,Director
524216,1169751,Producer
524216,2926095,Original Music Composer
524216,2926094,Original Music Composer
524216,1409540,Producer
524216,3498054,Producer
524216,1655515,Producer
524216,1126641,Producer
59421,1099785,Producer
59421,548666,Director
59421,1299507,Original Music Composer
59421,1099781,Producer
59421,1040705,Producer
339994,1077115,Director
339994,1706502,Producer
339994,1673675,Producer
339994,955583,Producer
339994,1673684,Producer
339994,67111,Producer
339994,1706501,Producer
339994,1029332,Original Music Composer
12500,72545,Screenplay
12500,72543,Director
12500,105081,Producer
12500,33008,Producer
12500,72546,Producer
12500,934838,Producer
12500,59806,Screenplay
12500,33009,Producer
12500,58703,Original Music Composer
850018,1208226,Original Music Composer
850018,984513,Original Music Composer
850018,82226,Director
850018,1277089,Screenplay
850018,12047,Screenplay
850018,82226,Producer
850018,112561,Producer
850018,88124,Producer
850018,41088,Producer
850018,53077,Producer
850018,1073046,Producer
850018,939536,Producer
74945,64890,Producer
74945,43993,Director
21629,16897,Director
21629,1242638,Producer
21629,18663,Original Music Composer
12476,4055,Original Music Composer
12476,72411,Producer
12476,21155,Screenplay
12476,62020,Director
12476,55164,Producer
12476,13663,Producer
13934,7879,Director
13934,8103,Producer
13934,8172,Original Music Composer
11091,23758,Screenplay
11091,67994,Producer
11091,14911,Director
11091,947,Original Music Composer
11091,3388,Producer
11091,57572,Producer
11091,10685,Producer
11091,949179,Producer
30159,2636,Director
30159,2636,Producer
30159,4082,Original Music Composer
30159,105793,Screenplay
30159,80462,Screenplay
3088,14647,Original Music Composer
3088,30286,Screenplay
3088,30286,Producer
3088,30287,Screenplay
3088,8500,Director
15413,18356,Director
15413,21146,Producer
15413,12432,Producer
15413,56644,Producer
15413,20908,Producer
15413,3393,Original Music Composer
693113,17211,Producer
693113,4739643,Original Music Composer
693113,4739641,Original Music Composer
693113,17210,Producer
693113,1367054,Producer
693113,1635066,Producer
693113,1772214,Producer
693113,2773829,Screenplay
693113,17211,Director
693113,966009,Producer
1075175,1504740,Director
1075175,1504740,Screenplay
1075175,1620686,Producer
1075175,1733918,Producer
1075175,1091462,Producer
1075175,4061059,Original Music Composer
17917,15378,Director
17917,6601,Producer
17917,9903,Original Music Composer
17917,175505,Original Music Composer
17917,35835,Screenplay
7091,51950,Director
7091,51951,Screenplay
7091,2721,Producer
7091,2720,Producer
7091,51952,Producer
7091,51953,Producer
7091,35079,Original Music Composer
12089,25182,Director
12089,25182,Screenplay
12089,25182,Producer
12089,1962,Producer
12089,1965,Original Music Composer
290825,19303,Director
290825,1113050,Original Music Composer
290825,1331168,Producer
290825,1161120,Producer
290825,23658,Producer
11591,1895,Director
11591,58231,Producer
11591,10590,Producer
11591,26064,Original Music Composer
3602,31119,Director
3602,11697,Producer
3602,33288,Producer
3602,33290,Original Music Composer
3602,33287,Screenplay
3602,11874,Producer
3602,57029,Producer
563907,1594217,Screenplay
563907,1933160,Screenplay
563907,1284972,Screenplay
563907,229571,Screenplay
563907,550305,Original Music Composer
563907,229571,Director
563907,50629,Producer
563907,575797,Producer
277368,64575,Director
298584,16847,Producer
298584,16847,Screenplay
298584,22239,Director
298584,69803,Screenplay
298584,59883,Producer
298584,1116280,Original Music Composer
298584,1199826,Producer
298584,1375905,Producer
18843,180576,Director
18843,2043,Producer
18843,49911,Original Music Composer
73532,16767,Director
73532,16767,Producer
10743,15890,Director
10743,5357,Producer
10743,40513,Producer
10743,23486,Original Music Composer
10743,62511,Producer
10743,20567,Producer
8944,8246,Director
8944,1254,Producer
8944,3305,Producer
8944,380,Producer
8944,8911,Producer
8944,8246,Producer
8944,55177,Original Music Composer
14249,893,Director
14249,37426,Screenplay
14249,126390,Screenplay
14249,18350,Producer
14249,20098,Producer
14249,7066,Original Music Composer
764835,1285823,Producer
764835,2842048,Producer
764835,2761976,Producer
764835,1525811,Original Music Composer
764835,1118159,Producer
764835,65559,Producer
764835,1298746,Producer
764835,13015,Director
764835,95321,Producer
764835,3489,Producer
869291,1503538,Director
869291,1979848,Original Music Composer
869291,1024274,Producer
869291,1775004,Producer
869291,438130,Producer
869291,3218477,Producer
869291,1673703,Producer
869291,1733485,Producer
17681,88623,Director
17681,1208521,Producer
17681,68358,Original Music Composer
952701,1474896,Producer
952701,1124422,Director
952701,1149256,Producer
952701,3934627,Original Music Composer
952701,3934626,Original Music Composer
8675,34517,Director
8675,34517,Producer
8675,55634,Original Music Composer
8675,132762,Producer
8675,74148,Producer
8675,34518,Producer
8675,64170,Producer
8675,69998,Producer
8675,2540569,Producer
70821,1515764,Producer
70821,93136,Director
438348,77128,Director
438348,77128,Screenplay
438348,4401,Producer
438348,4402,Producer
24795,14712,Original Music Composer
24795,4504,Producer
24795,31069,Screenplay
24795,71338,Screenplay
24795,19094,Screenplay
24795,33486,Producer
24795,18311,Producer
24795,56506,Director
13378,1224459,Screenplay
13378,1341802,Original Music Composer
13378,61290,Director
13378,591940,Screenplay
13378,1224460,Screenplay
13378,80672,Director
13378,61290,Screenplay
13378,80672,Screenplay
13378,87150,Screenplay
13378,1214625,Screenplay
13378,65857,Producer
13378,87149,Screenplay
13378,1215724,Screenplay
13378,591940,Director
13378,115756,Screenplay
13378,76733,Director
13378,1214624,Screenplay
519106,51116,Director
519106,1001672,Producer
519106,1001671,Producer
26320,531,Original Music Composer
26320,1127686,Producer
26320,1023786,Producer
26320,1617,Screenplay
26320,1614,Producer
26320,1614,Director
26320,1617,Producer
26320,121142,Producer
912598,237364,Producer
912598,3447776,Producer
912598,1280033,Producer
912598,3447772,Screenplay
912598,1871222,Screenplay
912598,1148353,Director
912598,1208426,Original Music Composer
912598,1254559,Screenplay
140870,1207661,Director
140870,1254045,Director
140870,66866,Producer
140870,112776,Original Music Composer
13321,2636,Director
13321,82172,Screenplay
13321,88972,Producer
13321,2636,Producer
13321,13571,Original Music Composer
105077,227330,Producer
105077,1115250,Producer
105077,1115248,Producer
105077,1115249,Producer
105077,587,Director
105077,77208,Producer
105077,59811,Original Music Composer
105077,1115253,Producer
105077,1115255,Producer
105077,985529,Producer
1160018,2119237,Director
1160018,35736,Producer
1160018,85699,Producer
1160018,1991819,Original Music Composer
1160018,2119237,Screenplay
1160018,1745008,Producer
1160018,131836,Producer
1160018,1124934,Producer
1071806,2262811,Director
1071806,1074959,Producer
1071806,962478,Screenplay
1071806,4932242,Original Music Composer
14859,116802,Director
14859,1181325,Screenplay
14859,116802,Screenplay
14859,173385,Producer
14859,116802,Producer
14859,50216,Original Music Composer
640344,1118300,Producer
640344,3162773,Producer
640344,2436936,Director
640344,2207412,Screenplay
640344,2436934,Screenplay
640344,2473124,Screenplay
640344,2436933,Screenplay
640344,2436934,Producer
640344,2436933,Producer
640344,2473125,Original Music Composer
1000866,109889,Director
1000866,109889,Screenplay
1000866,3627277,Screenplay
1000866,1436095,Producer
1000866,3962283,Original Music Composer
1000866,5069,Producer
13159,1201,Director
13159,1203317,Producer
13159,4500,Original Music Composer
13159,4700,Producer
856289,232685,Director
856289,79158,Producer
856289,4971883,Producer
856289,4773572,Producer
856289,67661,Original Music Composer
856289,4814723,Original Music Composer
320006,120229,Producer
320006,120229,Screenplay
320006,120229,Director
10800,66857,Screenplay
10800,66857,Director
10800,66866,Producer
10800,66858,Screenplay
10800,66856,Director
10800,122,Original Music Composer
1936,20097,Screenplay
1936,20098,Producer
1936,834,Director
1936,14647,Original Music Composer
510388,1283526,Director
510388,1361389,Director
510388,1029332,Original Music Composer
510388,1125189,Producer
510388,1673684,Producer
