movie_id,person_id,job
308369,1224031,Director
308369,1394669,Screenplay
308369,1004835,Producer
308369,15892,Producer
308369,1004836,Producer
308369,37317,Original Music Composer
308369,1045816,Original Music Composer
463272,1220300,Director
463272,2236,Producer
463272,1129513,Producer
463272,2238,Producer
463272,16463,Original Music Composer
361292,78160,Director
361292,39725,Screenplay
361292,74336,Original Music Composer
361292,78160,Producer
361292,20208,Producer
361292,39725,Producer
361292,2057954,Producer
361292,1110466,Producer
361292,2057955,Producer
361292,61122,Producer
361292,2057957,Producer
23048,347335,Screenplay
23048,212576,Screenplay
23048,74619,Screenplay
23048,3227,Director
23048,23486,Original Music Composer
23048,68389,Producer
23048,57431,Producer
23048,3036,Producer
225565,1211000,Director
225565,17751,Producer
225565,1062336,Producer
225565,62942,Producer
225565,74534,Producer
225565,1211000,Screenplay
225565,50772,Original Music Composer
763215,1463281,Producer
763215,1639821,Original Music Composer
763215,18311,Producer
763215,29400,Producer
763215,17597,Director
763215,937234,Screenplay
823219,1328012,Original Music Composer
823219,1130169,Producer
823219,1328012,Director
823219,1328012,Producer
823219,1105426,Producer
823219,2553500,Original Music Composer
823219,1957819,Producer
823219,1105426,Screenplay
823219,1328012,Screenplay
823219,1957818,Producer
9408,5359,Original Music Composer
9408,58421,Producer
9408,12905,Screenplay
9408,15774,Screenplay
9408,1118709,Producer
9408,58421,Screenplay
9408,58144,Screenplay
9408,12905,Director
9408,15774,Director
539885,26061,Screenplay
539885,1431796,Producer
539885,83002,Producer
539885,1031200,Producer
539885,72209,Producer
539885,55789,Director
539885,59811,Original Music Composer
399360,1626316,Screenplay
399360,11447,Director
399360,62011,Producer
399360,11447,Producer
9383,10491,Director
9383,57532,Screenplay
9383,7726,Producer
9383,931,Producer
9383,1760,Original Music Composer
678512,3348926,Producer
678512,72968,Producer
678512,17004,Original Music Composer
678512,72960,Director
804095,8780,Producer
804095,1160631,Producer
804095,488,Producer
804095,491,Original Music Composer
804095,488,Director
985,5602,Screenplay
985,5602,Producer
985,5602,Original Music Composer
985,2039691,Original Music Composer
985,5602,Director
271718,41039,Director
271718,312,Original Music Composer
271718,41039,Producer
271718,5664,Producer
403587,1640995,Director
167,1994,Producer
167,1093,Producer
167,1993,Producer
167,1997,Screenplay
167,1999,Original Music Composer
167,1978,Director
37137,12987,Director
37137,7181,Producer
37137,12939,Original Music Composer
12144,40345,Director
12144,40345,Producer
12144,39056,Producer
12144,12881,Producer
12144,1729,Original Music Composer
12144,72405,Screenplay
321741,1192754,Director
321741,578,Producer
321741,1213,Original Music Composer
321741,1555783,Producer
321741,56760,Producer
321741,1424196,Producer
321741,58787,Producer
744275,61921,Producer
744275,3055946,Producer
744275,1577383,Producer
744275,46088,Producer
744275,20742,Producer
744275,1551998,Producer
744275,62994,Original Music Composer
744275,1114487,Producer
744275,1448492,Director
97,6889,Producer
97,12859,Screenplay
97,12859,Director
97,2284,Original Music Composer
97,12862,Producer
192141,77147,Director
192141,142520,Producer
192141,66726,Producer
192141,7229,Original Music Composer
192141,1014937,Original Music Composer
192141,60864,Producer
11545,5655,Director
11545,18344,Producer
11545,5666,Original Music Composer
11545,5664,Producer
9482,57655,Producer
9482,1123815,Producer
9482,61232,Producer
9482,1726,Screenplay
9482,33279,Director
9482,7713,Producer
9482,37,Original Music Composer
9482,2711,Screenplay
292011,21007,Producer
292011,1128184,Producer
292011,21807,Screenplay
292011,57343,Producer
292011,6193,Producer
292011,166278,Producer
292011,190,Director
292011,129782,Original Music Composer
292011,190,Producer
292011,63946,Producer
984,14775,Screenplay
984,9217,Original Music Composer
984,14776,Screenplay
984,14774,Screenplay
984,14773,Producer
984,14773,Director
13597,7020,Original Music Composer
13597,10707,Screenplay
13597,55983,Director
13597,12681,Producer
14560,78435,Screenplay
14560,32895,Screenplay
14560,52112,Director
14560,11772,Producer
14560,11814,Producer
14560,20821,Producer
14560,19292,Producer
14560,32895,Producer
14560,60150,Original Music Composer
8051,4762,Director
8051,4762,Producer
8051,4770,Producer
8051,4769,Producer
8051,312,Original Music Composer
171274,4762,Director
171274,4762,Producer
171274,4769,Producer
171274,4770,Producer
171274,74333,Original Music Composer
239571,52405,Director
239571,2415035,Producer
239571,1899,Producer
239571,66963,Producer
239571,54419,Producer
239571,1419089,Producer
239571,64172,Producer
10331,64831,Screenplay
10331,14999,Director
10331,64833,Producer
10331,97914,Producer
10331,14999,Screenplay
1087192,69797,Producer
1087192,23485,Producer
1087192,69797,Director
1087192,73453,Producer
1087192,11098,Original Music Composer
9257,47640,Director
9257,11874,Producer
9257,818,Screenplay
