movie_id,person_id,job
8989,56506,Director
8989,56506,Producer
8989,52042,Producer
8989,20897,Original Music Composer
736769,2131739,Producer
736769,1663692,Producer
736769,134,Producer
736769,1731486,Producer
736769,1241977,Producer
736769,1691546,Producer
736769,2738163,Original Music Composer
736769,1663692,Director
2830,12987,Director
2830,20822,Original Music Composer
2830,12987,Producer
2830,28635,Producer
2830,18976,Producer
375012,1262867,Director
375012,1733919,Producer
375012,1292103,Producer
375012,1733918,Producer
489930,1401936,Original Music Composer
489930,1932178,Director
489930,56666,Producer
489930,565269,Producer
489930,1932179,Producer
489930,1652371,Producer
489930,55906,Original Music Composer
11953,5026,Screenplay
11953,5026,Producer
11953,5026,Director
11953,71029,Original Music Composer
11953,34372,Screenplay
405177,564,Director
405177,935634,Producer
405177,32608,Producer
405177,18135,Producer
405177,1164688,Screenplay
405177,1001361,Screenplay
405177,564,Screenplay
405177,32234,Original Music Composer
205601,1193598,Screenplay
205601,1193597,Director
205601,55480,Producer
205601,3562,Original Music Composer
353979,1017209,Director
353979,56657,Original Music Composer
353979,65643,Producer
353979,19662,Producer
433502,211659,Director
433502,1448200,Screenplay
433502,186592,Screenplay
433502,139904,Original Music Composer
433502,1356834,Producer
433502,24178,Producer
2768,770,Producer
2768,1035,Director
2768,1154,Original Music Composer
97434,1075095,Producer
97434,52405,Director
97434,286679,Producer
97434,31143,Producer
97434,24190,Original Music Composer
655082,2949,Original Music Composer
655082,1422940,Director
655082,2468912,Producer
655082,958519,Producer
655082,17080,Producer
655082,2030610,Producer
655082,54171,Producer
655082,3652373,Producer
13320,20153,Original Music Composer
13320,13284,Director
13320,13288,Producer
492353,570741,Original Music Composer
492353,1341584,Producer
492353,88468,Screenplay
492353,1318180,Director
492353,1318181,Director
492353,933274,Producer
492353,933273,Producer
484751,1014557,Director
484751,1398142,Producer
484751,1014557,Original Music Composer
484751,1176555,Original Music Composer
12088,68226,Screenplay
12088,27991,Director
12088,2043,Producer
12088,68228,Screenplay
12088,68227,Screenplay
12088,64507,Producer
12088,68229,Screenplay
267192,1187130,Director
267192,1086858,Producer
267192,1187130,Producer
267192,932,Producer
267192,1211618,Original Music Composer
267192,932,Screenplay
267192,15727,Producer
450489,1232390,Director
450489,1525141,Producer
450489,1232390,Producer
450489,53177,Producer
450489,39827,Original Music Composer
450489,1274663,Producer
450489,1287467,Producer
805327,1539280,Producer
805327,1759274,Producer
805327,15220,Producer
805327,1472212,Screenplay
805327,132360,Director
805327,1285806,Original Music Composer
805327,2095461,Original Music Composer
244566,17884,Director
244566,1331168,Producer
244566,1141596,Producer
244566,1476120,Original Music Composer
244566,1476113,Original Music Composer
244566,1161961,Original Music Composer
291984,143593,Director
291984,68317,Producer
291984,1034358,Producer
291984,143593,Producer
291984,5488,Original Music Composer
339404,3905,Director
339404,983720,Producer
339404,1116278,Producer
339404,1221606,Screenplay
339404,1219546,Screenplay
740925,5907,Original Music Composer
740925,9157,Producer
740925,1376224,Director
740925,1312262,Screenplay
740925,1371511,Screenplay
740925,1973374,Producer
648878,131399,Producer
648878,1145520,Producer
648878,1145520,Director
648878,4447,Producer
648878,582922,Original Music Composer
648878,1580941,Original Music Composer
287590,1458361,Screenplay
287590,86978,Director
287590,16140,Original Music Composer
248705,64909,Director
248705,64909,Producer
248705,935703,Producer
86835,30715,Director
86835,1089521,Producer
86835,16398,Producer
86835,1024274,Producer
86835,1099419,Original Music Composer
2155,22056,Producer
2155,6627,Producer
2155,13776,Director
2155,37,Original Music Composer
2155,1307,Producer
624808,22807,Director
624808,22807,Screenplay
624808,79135,Producer
624808,1610474,Producer
75761,576218,Producer
75761,287668,Producer
75761,58245,Producer
75761,576216,Producer
75761,6041,Original Music Composer
75761,58245,Director
10552,21819,Director
10552,5398,Producer
10552,19051,Producer
10552,3027,Screenplay
10552,37,Original Music Composer
763148,128452,Director
763148,1306691,Producer
11159,68047,Original Music Composer
11159,65452,Director
11159,20423,Producer
8736,56233,Producer
8736,56234,Producer
8736,56228,Producer
8736,56230,Producer
8736,56235,Producer
8736,56225,Director
8736,56227,Screenplay
8736,56232,Producer
8736,56225,Screenplay
8736,62433,Original Music Composer
1175942,1261455,Director
1175942,1862656,Producer
1175942,582922,Original Music Composer
1175942,967321,Screenplay
1175942,52803,Screenplay
652483,592438,Director
652483,543378,Producer
5879,46230,Director
5879,2304,Producer
5879,2230329,Original Music Composer
11657,3831,Director
11657,39338,Original Music Composer
11657,40532,Producer
24226,39996,Director
24226,5322,Producer
24226,1297,Producer
24226,1255,Screenplay
24226,9796,Original Music Composer
10344,64875,Director
10344,63920,Screenplay
10344,2093,Producer
10344,61824,Screenplay
10344,63921,Screenplay
10344,4027,Screenplay
