movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
1730,/s5f0FbVAABEnJYKaApWORTxhiFC.jpg,en,5.682,44,1000,1500
1730,/jCMan6hF3AylUBEhjDKvya02LPH.jpg,en,5.25,24,2000,3000
1730,/ybpVOFkvYuBLofvnZ4C8TTjXBQi.jpg,en,5.25,14,1000,1500
474354,/rd940KzuIZwbdOvOUF7XDTzn8te.jpg,en,3.334,1,1482,2222
474354,/8RZjeZ69UDLkaFQVKcslciP6MOr.jpg,en,1.75,2,768,1152
474354,/bupvg6tMyEKTjVJBA7r4MWqEGTf.jpg,en,0.166,1,1000,1500
15357,/qhadETc2y1ImTQ51all8tOd45aw.jpg,en,3.334,1,2000,3000
15357,/8okAUSzfWiudSYMXLJYBnlcILcz.jpg,en,1.75,2,1000,1500
15357,/w1rjImpSbK0MdMHQggbRzxpxBqR.jpg,en,0.0,0,1920,2560
1280,/mejeTOe8aGWyAAjaGj7Mi66Vtfc.jpg,en,3.334,1,1414,2000
1280,/myv6rYCghzi2lyWJLbdhZM43JYK.jpg,en,1.75,3,2000,3000
1280,/7N6jjgV7P9XEfUtBw82fnPZnwdG.jpg,en,1.75,2,1000,1500
324560,/aNxU4eZrfiChOgCEtyKWSCExdEi.jpg,en,7.542,8,2000,3000
324560,/fYYruOEwdbJhlgdfK1HxPhXwHiB.jpg,en,6.312,8,2000,3000
324560,/msEUPK8J3OEJuv0Yg0oMjYLnPB7.jpg,en,3.334,1,907,1362
11171,/wgSwDqhl6Rt3cuSCwt5sNpPna3x.jpg,en,5.25,16,1000,1500
11171,/eivGeCwVj8zUkuU9pTf2SiNukXQ.jpg,en,8.362,6,2000,3000
11171,/70sWsMhIeZi5WXknbSTSW3fFOZK.jpg,en,7.19,7,1000,1500
11699,/zRULXsd0rb1lVfnSyQkYPi2nLcB.jpg,en,4.97,17,1400,2100
11699,/hMgMdFyPzGZzbiTEKScY8HuNqCS.jpg,en,4.722,9,850,1255
11699,/73jnKMm8bCcV1w2ltkaeJfLZJzX.jpg,en,4.722,9,1170,1755
615667,/pvtyxijaBrCSbByXLcUIDDSvc40.jpg,en,8.362,6,1481,2222
615667,/6PwqeenEnAdVnh9prxMN3uZXKmR.jpg,en,3.334,1,1000,1500
615667,/vfMawgOw8NnDOpn2rTPDfCU4RLi.jpg,en,1.75,2,1013,1500
823625,/bv9dy8mnwftdY2j6gG39gCfSFpV.jpg,en,5.928,14,2000,2920
823625,/mwiEt2I5FsDyNrxP5jcBFEf5N8j.jpg,en,3.334,2,2000,3000
823625,/mFr9aFBKMDIzXqR1XiP02d07QaS.jpg,en,3.334,1,2000,3000
12193,/zixj44TC7rwzpxtJAG5OzFJnEqe.jpg,en,3.334,2,1000,1500
12193,/p0jx8fsOAnM9dsomXL6kAMzTQJr.jpg,en,3.334,1,800,1200
12193,/kOssSOdgwxAdM4YSeipvNE5j9i8.jpg,en,3.334,1,2000,3000
9013,/yx0touyDQ9enWDsFgS4MbBwCSNd.jpg,en,10.0,4,2000,3000
9013,/vT4hIPxQIfYPOwIQaTvOY2gHzJg.jpg,en,7.814,9,1000,1500
9013,/avLXoDhPPbKgdOU7wsoVlOzYfUP.jpg,en,6.834,15,1000,1500
419831,/cvit6HDbXHE6W5kGPd47jd0wthQ.jpg,en,8.034,10,2000,3000
