movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
308369,/eLjS2bLMjln2n2I73Xu6TaANPDZ.jpg,en,3.334,2,2000,3000
308369,/1s94boE5gPCyHN7t7z5P4r2yuYU.jpg,en,3.334,1,913,1370
308369,/hvpSfNpmlzuhbFU9gziKlP266op.jpg,,3.334,1,2000,3000
463272,/tCBxnZwLiY1BOKw3tH6AxHZdqPh.jpg,en,8.362,6,2000,3000
463272,/ryACHOzmRJiJEKjatbokudfkO74.jpg,en,8.034,5,2000,3000
463272,/3aH22xSr7j51OPvW0CAuuS0kDZR.jpg,en,3.334,1,2000,3000
361292,/bRpKFPb8CWKRQxVo9NzOuPPlO3Q.jpg,en,6.722,9,2000,3000
361292,/dzWTnkert9EoiPWldWJ15dnfAFl.jpg,en,6.622,45,2000,3000
361292,/qntguRoupnAASFdld8kTDe68fEn.jpg,en,5.25,52,2000,3000
23048,/wjzbVXAes1acbh6k4OO5xVfy5.jpg,en,8.034,5,1600,2400
23048,/ipw2GJSPoQvYZkYyeGzoKsrgWVa.jpg,en,3.334,3,1706,2560
23048,/jeB9CMmmgOvO3dJauZAfJoAdGIq.jpg,,3.334,1,1000,1500
225565,/tjDAdesZNYFyRNnZvLT0osc7S2t.jpg,en,3.334,1,1400,2100
225565,/6uOm6ryZg4GhYRPQZ2ID2TkTdpY.jpg,en,1.75,2,1000,1500
225565,/eoAZQ3pMZSH0WuJQ76vSEIVYrLf.jpg,en,1.222,3,1000,1500
763215,/AgHbB9DCE9aE57zkHjSmseszh6e.jpg,en,10.0,4,1000,1500
763215,/290Lsuy4GJF3VEVqMbJqHs7xFdv.jpg,en,6.546,11,2000,3000
763215,/kalIlHTSoWprLf4h0R4qvF7VBj.jpg,en,5.25,14,2000,3000
823219,/zME0Ul0w48MKkYBnFRn40M5qgLh.jpg,en,10.0,4,2000,3000
823219,/8GXas5MszvqDXCJi48NfmMdx8Lc.jpg,en,8.034,5,2000,3000
823219,/imKSymKBK7o73sajciEmndJoVkR.jpg,en,6.834,15,1900,2850
9408,/kAeZfUDmuhnL8pLnxxFxBhYVdm6.jpg,en,3.334,2,1000,1500
9408,/tTDsCVlDA8QR4Dc6t6nERfwl5z.jpg,en,2.542,5,1400,2100
9408,/b4Tcnx2e6Lfc8QUVmyZx4HsClwt.jpg,en,2.542,4,1000,1500
539885,/qzA87Wf4jo1h8JMk9GilyIYvwsA.jpg,en,8.908,9,2000,3000
539885,/zhLOFPMtQ3oSGTs3X8mwK4c15JQ.jpg,en,3.334,3,1000,1500
539885,/b9oHpPdcntkIP3zSp3Zc7o5a5wf.jpg,en,3.334,1,2000,3000
399360,/afdZAIcAQscziqVtsEoh2PwsYTW.jpg,en,5.778,9,2000,3000
399360,/hudZsb84xSRcJzYmZo6vOncDf2w.jpg,en,5.786,7,2000,3000
399360,/x6h7AVSDH7JLar3QvPEKnZIhJQk.jpg,,3.334,1,2000,3000
9383,/sd3qUIv5uoP2oTbqv66CzXSPjKG.jpg,en,4.818,11,1000,1500
9383,/nAasMJGaytKKsMGbrXJr0g8OufK.jpg,en,8.77,8,1000,1500
9383,/blFFVRd13c6d1sW3UC60ZDdBSOt.jpg,en,3.334,2,1400,2100
678512,/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,en,6.722,9,2000,3000
678512,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,en,6.2,15,1119,1678
678512,/mx4O9OEvIB265VM3UATLslsSW5t.jpg,en,5.25,12,1119,1678
804095,/h7llKkqkkJtJrTOaDLuVeUYDQ7I.jpg,en,6.722,7,2000,3000
804095,/d2IywyOPS78vEnJvwVqkVRTiNC1.jpg,en,6.438,16,2000,3000
804095,/zrh0bv8L6DXl2Es07Hc6Aajkqnj.jpg,en,4.818,11,956,1434
985,/mxveW3mGVc0DzLdOmtkZsgd7c3B.jpg,en,1.35,11,1400,2100
985,/yeI2w95TLmcQYXXehTEXh2Hr3QU.jpg,en,6.2,10,1744,2585
985,/t0veUsUMolsF8QmIBkxB9CxadAd.jpg,en,3.334,1,509,767
271718,/wrY629UTCUAKLJ4CxQXz6DCE7pr.jpg,en,3.334,2,1578,2367
271718,/ztuOygXcvriNtDdKDGKp5eszCfS.jpg,en,0.166,1,2000,3000
271718,/nGXrdQtIRDX9hQBTkzlYrhiQBV1.jpg,en,0.166,1,2000,3000
403587,/54QOkHWUnn3gDZKfGojPiFqTHJD.jpg,en,0.0,0,500,750
167,/tafXZX0I6rso7EyoEzfygfTqxq6.jpg,en,3.334,2,1000,1426
167,/2iWEXeBO2obQ6Ag1Ck7K20kiXPF.jpg,en,3.334,1,1000,1500
167,/boGRL5k4xanRiZmIgk0cFqdt4CH.jpg,,3.334,1,1000,1426
37137,/v9niLQWVzVPB1cP1ThNdEaLZG1Q.jpg,en,1.75,7,800,1200
37137,/5ORRpkNLJa6sOC75VNO2oDHZn6m.jpg,,3.334,1,2000,3000
37137,/uCgit8bGzWJKyzGJH1FNUj3Znk3.jpg,en,3.334,1,2000,3000
12144,/vP2cDLZyj8mlu97m1N3q9nxNrRS.jpg,en,6.722,9,1000,1500
12144,/wSC2wxFj3ZgrIHlIaePeuHN4igo.jpg,en,5.25,14,1000,1500
12144,/7phV1ETZnQrLsEeuk4hNeceEl25.jpg,en,4.97,17,1400,2100
321741,/gseayWAIFt3GQrEUNuUcYxT77Ud.jpg,en,6.722,6,2000,3000
321741,/uuRFr7Jhsq7bITDyyvxZrQMAr9e.jpg,en,3.334,1,2000,3000
321741,/r0V9hfX9WeCY4xRllxsbstMF1pX.jpg,en,3.334,1,1318,1976
744275,/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,en,7.19,7,2000,3000
744275,/y0BBwpk5IIVbV655mfeR7kCNYhb.jpg,en,6.312,8,2000,3000
744275,/suN9WacmM6TIUOuYonHc1iL7uRw.jpg,en,4.722,9,1365,2048
97,/jigY9B6TKz4qlfikZcd18qtzTK4.jpg,en,6.722,6,1500,2250
97,/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,en,4.934,15,2000,3000
97,/eJ2AtUTBif63PuPJfWw0Qfqzi87.jpg,,3.334,1,2000,3000
192141,/jIXZEvL4dmgkjyhD5JUDeOaASKB.jpg,en,7.19,7,2000,3000
192141,/ex7p1e36hO5Y8bTPMwF1mBIbtbI.jpg,en,3.334,2,2000,3000
192141,/6WLnzTG4Hz3lFvfZGSsyB8NFGgM.jpg,en,3.334,3,2000,3000
11545,/hSJ6swahAuZ8wM96lHDTwQPXUvZ.jpg,en,6.5,19,1000,1500
11545,/dfSdVJRvye1npQYCHMD9hKfYhhy.jpg,en,5.928,14,2000,3000
11545,/5gMhMUA2bQDUtOVqKzijJVpN5k1.jpg,en,3.334,1,736,981
9482,/cfSnKn8NDU3m8UxihjVcYprA0Aq.jpg,en,0.958,4,2000,3000
9482,/rYmm6DhM7RlnSYWY1IrTNrDEc0M.jpg,en,8.034,5,1000,1500
9482,/8iEi2mEc6NrRpP9NP22o8oGWwv0.jpg,en,2.066,6,704,1000
292011,/5Lgkm8jt4roAFPZQ52fKMhVmDaZ.jpg,en,6.722,6,2000,3000
292011,/8t00sQPe2IgPNLnKmG1EnPUu7Ua.jpg,en,5.25,8,1333,1999
292011,/ihN1TZvJSbUpVbIB6dT2Uy4k7vZ.jpg,,3.334,1,2000,3000
984,/scl2JDHzYoIEs5xyYy5ITCfyY0G.jpg,en,3.214,21,1000,1500
