movie_id,provider_name,provider_type
308369,Amazon Video,rent
308369,Apple TV Store,rent
308369,Google Play Movies,rent
308369,YouTube,rent
308369,Fandango At Home,rent
308369,Amazon Video,buy
308369,Apple TV Store,buy
308369,Google Play Movies,buy
308369,YouTube,buy
308369,Fandango At Home,buy
463272,Amazon Video,rent
463272,Apple TV Store,rent
463272,Google Play Movies,rent
463272,YouTube,rent
463272,Fandango At Home,rent
463272,Amazon Video,buy
463272,Apple TV Store,buy
463272,Google Play Movies,buy
463272,YouTube,buy
463272,Fandango At Home,buy
361292,Apple TV Store,rent
361292,Google Play Movies,rent
361292,YouTube,rent
361292,Apple TV Store,buy
361292,Google Play Movies,buy
361292,YouTube,buy
23048,fuboTV,flatrate
23048,MGM+ Amazon Channel,flatrate
23048,MGM Plus Roku Premium Channel,flatrate
23048,YouTube TV,flatrate
23048,MGM Plus,flatrate
23048,Philo,flatrate
23048,Amazon Video,rent
23048,Apple TV Store,rent
23048,Google Play Movies,rent
23048,YouTube,rent
23048,Fandango At Home,rent
23048,Plex,rent
23048,Amazon Video,buy
23048,Apple TV Store,buy
23048,Google Play Movies,buy
23048,YouTube,buy
23048,Fandango At Home,buy
225565,Amazon Video,rent
225565,Apple TV Store,rent
225565,Google Play Movies,rent
225565,YouTube,rent
225565,Fandango At Home,rent
225565,Amazon Video,buy
225565,Apple TV Store,buy
225565,Google Play Movies,buy
225565,YouTube,buy
225565,Fandango At Home,buy
763215,Netflix,flatrate
763215,Netflix Standard with Ads,flatrate
823219,HBO Max,flatrate
823219,HBO Max Amazon Channel,flatrate
823219,Amazon Video,rent
823219,Apple TV Store,rent
823219,Google Play Movies,rent
823219,YouTube,rent
823219,Fandango At Home,rent
823219,Amazon Video,buy
823219,Apple TV Store,buy
823219,Google Play Movies,buy
823219,YouTube,buy
823219,Fandango At Home,buy
9408,Amazon Video,rent
9408,Apple TV Store,rent
9408,Google Play Movies,rent
9408,YouTube,rent
9408,Fandango At Home,rent
9408,Spectrum On Demand,rent
9408,Amazon Video,buy
9408,Apple TV Store,buy
9408,Google Play Movies,buy
9408,YouTube,buy
9408,Fandango At Home,buy
539885,Amazon Prime Video,flatrate
539885,Peacock Premium,flatrate
539885,Amazon Prime Video with Ads,flatrate
539885,Peacock Premium Plus,flatrate
539885,Amazon Video,rent
539885,Apple TV Store,rent
539885,Google Play Movies,rent
539885,YouTube,rent
539885,Fandango At Home,rent
539885,Amazon Video,buy
539885,Apple TV Store,buy
539885,Google Play Movies,buy
539885,YouTube,buy
539885,Fandango At Home,buy
399360,Amazon Video,rent
399360,Apple TV Store,rent
399360,Google Play Movies,rent
399360,YouTube,rent
399360,Fandango At Home,rent
399360,Plex,rent
399360,Amazon Video,buy
399360,Apple TV Store,buy
399360,Google Play Movies,buy
399360,YouTube,buy
399360,Fandango At Home,buy
9383,Amazon Video,rent
9383,Apple TV Store,rent
9383,Google Play Movies,rent
9383,YouTube,rent
9383,Fandango At Home,rent
9383,Amazon Video,buy
9383,Apple TV Store,buy
9383,Google Play Movies,buy
9383,YouTube,buy
9383,Fandango At Home,buy
678512,Amazon Prime Video,flatrate
678512,Angel Studios,flatrate
678512,Amazon Prime Video with Ads,flatrate
678512,Amazon Video,rent
678512,Apple TV Store,rent
678512,Google Play Movies,rent
678512,YouTube,rent
678512,Amazon Video,buy
678512,Apple TV Store,buy
678512,Google Play Movies,buy
678512,YouTube,buy
804095,Peacock Premium,flatrate
804095,YouTube TV,flatrate
804095,Peacock Premium Plus,flatrate
804095,Amazon Video,rent
804095,Apple TV Store,rent
804095,Google Play Movies,rent
804095,YouTube,rent
804095,Fandango At Home,rent
804095,Spectrum On Demand,rent
804095,Amazon Video,buy
804095,Apple TV Store,buy
804095,Google Play Movies,buy
804095,YouTube,buy
804095,Fandango At Home,buy
985,fuboTV,flatrate
985,HBO Max,flatrate
985,HBO Max Amazon Channel,flatrate
985,Criterion Channel,flatrate
