movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
8989,/5ZNWhOEsuNHIQ1gbtwdTGK7srCr.jpg,en,10.0,5,2000,3000
8989,/vHucFwGjv1c6xhYqbKNJx658DnX.jpg,en,10.0,4,1000,1500
8989,/reHlE6G4P1Tsd75REdD1ruhpKnm.jpg,en,5.786,7,1400,2100
736769,/hnzXoDaK346U4ByfvQenu2DZnTg.jpg,en,5.5,19,2000,3000
736769,/omSa3oafsV7i5776FLFoOBI2Ho9.jpg,en,5.25,20,900,1350
736769,/p999HTIlUefP3L0p3T8szdiyE0o.jpg,en,1.75,2,1175,1763
2830,/8UPgj6OtOVhcFt79voH8h3bOySx.jpg,,3.334,2,2000,3000
2830,/6z6ehjP1GyMLFeja9pHGGZb9B2.jpg,en,3.334,1,1000,1500
2830,/eZsFXr3m0shC5HH7SRlZouiuQVH.jpg,en,2.278,3,1000,1500
375012,/3hxT9XviA3VzUtelHBk2xA6I9FY.jpg,en,6.2,10,2000,3000
375012,/bsHpzc7mVbJfZBaD0EISJkm3f3H.jpg,en,5.778,10,1000,1500
375012,/cbvdOeAKQ2ilmZRKZ60PiUUIPCT.jpg,en,1.75,2,1000,1500
489930,/x4DRZfTqOlmzNWAvy4vcKWkgEGL.jpg,en,8.034,5,2000,3000
489930,/cMQTd5g2NnYiS32Dcl75TqGSyrn.jpg,en,3.424,13,1800,2811
489930,/c4UvwoMmQiztTqeUnExDU5hoCdP.jpg,en,1.75,4,1800,2700
11953,/fJgqj9s8HNZz9zwX6femVJn8HEB.jpg,en,3.334,1,2000,3000
11953,/ag3sgXg27j8NTaIbWoODIFiikfw.jpg,en,6.312,8,1067,1600
11953,/tWyJkmHFTkA9LnSWAI8qw0HWpEX.jpg,en,3.334,1,640,960
405177,/BziuuZULnGmTRLthEty1QdKSEo.jpg,en,10.0,4,2000,3000
405177,/e24p30EjLfX6wNCafuoUk7YgL0U.jpg,en,3.334,1,2000,3000
