movie_id,provider_name,provider_type
1730,HBO Max,flatrate
1730,HBO Max Amazon Channel,flatrate
1730,Criterion Channel,flatrate
1730,Amazon Video,rent
1730,Apple TV Store,rent
1730,Google Play Movies,rent
1730,YouTube,rent
1730,Fandango At Home,rent
1730,Amazon Video,buy
1730,Apple TV Store,buy
1730,Google Play Movies,buy
1730,YouTube,buy
1730,Fandango At Home,buy
474354,Netflix,flatrate
474354,Netflix Standard with Ads,flatrate
15357,fuboTV,flatrate
15357,Amazon Video,rent
15357,Apple TV Store,rent
15357,Google Play Movies,rent
15357,YouTube,rent
15357,Fandango At Home,rent
15357,Amazon Video,buy
15357,Apple TV Store,buy
15357,Google Play Movies,buy
15357,YouTube,buy
15357,Fandango At Home,buy
1280,Amazon Video,rent
1280,Apple TV Store,rent
1280,Google Play Movies,rent
1280,YouTube,rent
1280,Fandango At Home,rent
1280,Amazon Video,buy
1280,Apple TV Store,buy
1280,Google Play Movies,buy
1280,YouTube,buy
1280,Fandango At Home,buy
324560,Starz Apple TV Channel,flatrate
324560,Starz,flatrate
324560,Philo,flatrate
324560,Starz Amazon Channel,flatrate
324560,Amazon Video,rent
324560,Apple TV Store,rent
324560,Google Play Movies,rent
324560,YouTube,rent
324560,Fandango At Home,rent
324560,Amazon Video,buy
324560,Apple TV Store,buy
324560,Google Play Movies,buy
324560,YouTube,buy
324560,Fandango At Home,buy
11171,Strand Releasing Amazon Channel,flatrate
11171,Amazon Video,rent
11171,Google Play Movies,rent
11171,YouTube,rent
11171,Fandango At Home,rent
11171,Amazon Video,buy
11171,Google Play Movies,buy
11171,YouTube,buy
11171,Fandango At Home,buy
11699,Amazon Prime Video,flatrate
11699,fuboTV,flatrate
11699,Criterion Channel,flatrate
11699,Amazon Prime Video with Ads,flatrate
11699,Amazon Video,rent
11699,Apple TV Store,rent
11699,Google Play Movies,rent
11699,YouTube,rent
11699,Fandango At Home,rent
11699,Amazon Video,buy
11699,Apple TV Store,buy
11699,Google Play Movies,buy
11699,YouTube,buy
11699,Fandango At Home,buy
615667,Netflix,flatrate
615667,Netflix Standard with Ads,flatrate
823625,Amazon Prime Video,flatrate
823625,Amazon Prime Video with Ads,flatrate
823625,Amazon Video,rent
823625,Apple TV Store,rent
823625,Google Play Movies,rent
823625,YouTube,rent
823625,Fandango At Home,rent
823625,Amazon Video,buy
823625,Apple TV Store,buy
823625,Google Play Movies,buy
823625,YouTube,buy
823625,Fandango At Home,buy
12193,Amazon Video,rent
12193,Apple TV Store,rent
12193,Google Play Movies,rent
12193,YouTube,rent
12193,Fandango At Home,rent
12193,Plex,rent
12193,Amazon Video,buy
12193,Apple TV Store,buy
12193,Google Play Movies,buy
12193,YouTube,buy
12193,Fandango At Home,buy
9013,Amazon Video,rent
9013,Apple TV Store,rent
9013,Google Play Movies,rent
9013,YouTube,rent
9013,Fandango At Home,rent
9013,Amazon Video,buy
9013,Apple TV Store,buy
9013,Google Play Movies,buy
9013,YouTube,buy
9013,Fandango At Home,buy
419831,Philo,flatrate
419831,Amazon Video,rent
419831,Apple TV Store,rent
419831,Google Play Movies,rent
419831,YouTube,rent
419831,Fandango At Home,rent
419831,Amazon Video,buy
419831,Apple TV Store,buy
419831,Google Play Movies,buy
419831,YouTube,buy
419831,Fandango At Home,buy
103328,Fandor,flatrate
103328,Philo,flatrate
103328,Fandor Amazon Channel,flatrate
103328,Midnight Pulp,flatrate
103328,Midnight Pulp Amazon Channel,flatrate
103328,Shout! Factory Amazon Channel,flatrate
103328,Apple TV Store,rent
103328,Google Play Movies,rent
103328,YouTube,rent
103328,Fandango At Home,rent
103328,Apple TV Store,buy
103328,Google Play Movies,buy
103328,YouTube,buy
103328,Fandango At Home,buy
9909,Amazon Prime Video,flatrate
9909,Amazon Prime Video with Ads,flatrate
9909,Amazon Video,rent
9909,Apple TV Store,rent
9909,Google Play Movies,rent
9909,YouTube,rent
9909,Fandango At Home,rent
9909,Amazon Video,buy
9909,Apple TV Store,buy
9909,Google Play Movies,buy
9909,YouTube,buy
9909,Fandango At Home,buy
715931,Apple TV,flatrate
715931,Apple TV Amazon Channel,flatrate
715931,Amazon Video,rent
715931,Apple TV Store,rent
715931,Google Play Movies,rent
715931,YouTube,rent
715931,Fandango At Home,rent
715931,Amazon Video,buy
715931,Apple TV Store,buy
715931,Google Play Movies,buy
715931,YouTube,buy
715931,Fandango At Home,buy
768362,Hulu,flatrate
768362,fuboTV,flatrate
768362,HBO Max Amazon Channel,flatrate
768362,YouTube TV,flatrate
768362,Cinemax Amazon Channel,flatrate
768362,Cinemax Apple TV Channel,flatrate
768362,Amazon Video,rent
768362,Apple TV Store,rent
768362,Google Play Movies,rent
768362,YouTube,rent
768362,Fandango At Home,rent
768362,Amazon Video,buy
768362,Apple TV Store,buy
768362,Google Play Movies,buy
768362,YouTube,buy
768362,Fandango At Home,buy
535544,Netflix,flatrate
535544,Netflix Standard with Ads,flatrate
535544,Amazon Video,rent
535544,Apple TV Store,rent
535544,Google Play Movies,rent
535544,YouTube,rent
535544,Fandango At Home,rent
535544,FlixFling,rent
535544,Amazon Video,buy
535544,Apple TV Store,buy
535544,Google Play Movies,buy
535544,YouTube,buy
535544,Fandango At Home,buy
4912,fuboTV,flatrate
4912,MGM+ Amazon Channel,flatrate
4912,Paramount Plus Premium,flatrate
4912,Paramount Plus Essential,flatrate
4912,Paramount+ Amazon Channel,flatrate
4912,MGM Plus,flatrate
4912,Philo,flatrate
4912,Amazon Video,rent
4912,Apple TV Store,rent
4912,Google Play Movies,rent
4912,YouTube,rent
4912,Fandango At Home,rent
4912,JustWatch TV,rent
4912,Amazon Video,buy
4912,Apple TV Store,buy
4912,Google Play Movies,buy
4912,YouTube,buy
4912,Fandango At Home,buy
6961,Starz Apple TV Channel,flatrate
6961,Starz Roku Premium Channel,flatrate
6961,Amazon Video,rent
6961,Apple TV Store,rent
6961,Google Play Movies,rent
6961,YouTube,rent
6961,Fandango At Home,rent
6961,Amazon Video,buy
6961,Apple TV Store,buy
6961,Google Play Movies,buy
6961,YouTube,buy
6961,Fandango At Home,buy
58857,Amazon Prime Video,flatrate
58857,fuboTV,flatrate
58857,Philo,flatrate
58857,Amazon Prime Video with Ads,flatrate
58857,Magnolia Selects Amazon Channel,flatrate
58857,Warriors and Gangsters Amazon Channel,flatrate
58857,Amazon Video,rent
58857,Apple TV Store,rent
58857,Google Play Movies,rent
58857,YouTube,rent
58857,Fandango At Home,rent
58857,FlixFling,rent
58857,Spectrum On Demand,rent
58857,Amazon Video,buy
58857,Apple TV Store,buy
58857,Google Play Movies,buy
58857,YouTube,buy
58857,Fandango At Home,buy
58857,FlixFling,buy
468198,Film Movement Plus Amazon Channel,flatrate
84174,Amazon Video,rent
84174,Apple TV Store,rent
84174,Google Play Movies,rent
84174,YouTube,rent
84174,Fandango At Home,rent
84174,Amazon Video,buy
84174,Apple TV Store,buy
84174,Google Play Movies,buy
84174,YouTube,buy
84174,Fandango At Home,buy
21778,Amazon Video,rent
21778,Apple TV Store,rent
21778,Google Play Movies,rent
21778,YouTube,rent
21778,Amazon Video,buy
21778,Apple TV Store,buy
21778,Google Play Movies,buy
21778,YouTube,buy
11824,Amazon Prime Video,flatrate
11824,Amazon Prime Video with Ads,flatrate
11824,Amazon Video,rent
11824,Apple TV Store,rent
11824,Google Play Movies,rent
11824,YouTube,rent
11824,Fandango At Home,rent
11824,Plex,rent
11824,Amazon Video,buy
11824,Apple TV Store,buy
11824,Google Play Movies,buy
11824,YouTube,buy
11824,Fandango At Home,buy
13888,Amazon Video,rent
13888,Apple TV Store,rent
13888,Google Play Movies,rent
13888,YouTube,rent
13888,Fandango At Home,rent
13888,Amazon Video,buy
13888,Apple TV Store,buy
13888,Google Play Movies,buy
13888,YouTube,buy
13888,Fandango At Home,buy
429471,Amazon Video,rent
429471,Apple TV Store,rent
429471,Google Play Movies,rent
429471,YouTube,rent
429471,Fandango At Home,rent
429471,Amazon Video,buy
429471,Apple TV Store,buy
429471,Google Play Movies,buy
429471,YouTube,buy
429471,Fandango At Home,buy
2665,Amazon Video,rent
2665,Apple TV Store,rent
2665,Google Play Movies,rent
2665,YouTube,rent
2665,Fandango At Home,rent
2665,Amazon Video,buy
2665,Apple TV Store,buy
2665,Google Play Movies,buy
2665,YouTube,buy
2665,Fandango At Home,buy
503619,Netflix,flatrate
503619,Netflix Standard with Ads,flatrate
2977,fuboTV,flatrate
2977,Paramount Plus Premium,flatrate
2977,Paramount Plus Essential,flatrate
2977,Britbox Apple TV Channel ,flatrate
2977,Paramount+ Amazon Channel,flatrate
2977,Amazon Video,rent
2977,Apple TV Store,rent
2977,Google Play Movies,rent
2977,YouTube,rent
2977,Fandango At Home,rent
2977,Amazon Video,buy
2977,Apple TV Store,buy
2977,Google Play Movies,buy
2977,YouTube,buy
2977,Fandango At Home,buy
445,Fandor Amazon Channel,flatrate
445,Amazon Video,rent
445,Apple TV Store,rent
445,Google Play Movies,rent
445,YouTube,rent
445,Fandango At Home,rent
445,Amazon Video,buy
445,Apple TV Store,buy
445,Google Play Movies,buy
445,YouTube,buy
526,Amazon Video,rent
526,Apple TV Store,rent
526,Google Play Movies,rent
526,YouTube,rent
526,Fandango At Home,rent
526,Amazon Video,buy
526,Apple TV Store,buy
526,Google Play Movies,buy
526,YouTube,buy
526,Fandango At Home,buy
71864,Disney Plus,flatrate
71864,Amazon Video,rent
71864,Apple TV Store,rent
71864,Google Play Movies,rent
71864,YouTube,rent
71864,Fandango At Home,rent
71864,Amazon Video,buy
71864,Apple TV Store,buy
71864,Google Play Movies,buy
71864,YouTube,buy
71864,Fandango At Home,buy
1124620,Hulu,flatrate
1124620,Amazon Video,rent
1124620,Apple TV Store,rent
1124620,Google Play Movies,rent
1124620,YouTube,rent
1124620,Fandango At Home,rent
1124620,Amazon Video,buy
1124620,Apple TV Store,buy
1124620,Google Play Movies,buy
1124620,YouTube,buy
1124620,Fandango At Home,buy
118406,Netflix,flatrate
