movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
841755,/ablrE8IbWcIrAxMmm4gnPn75AMS.jpg,en,8.596,7,2000,3000
841755,/g1yNc0IxTbjtWEDwWIT6yJY86V8.jpg,en,3.334,1,2000,3000
841755,/s4ZE1QPXUQY06p5iKxfq0sHoVF.jpg,en,2.278,3,1000,1500
389868,/vJgRo5EJMYPzBcljlIlUxBAlucL.jpg,en,5.786,7,1400,2100
389868,/4O9pQggt8V7a9g6brsyZx2zEHRj.jpg,en,2.278,3,2000,3000
389868,/vcsxNBNIrZoJls3fXzyoqSRnrEU.jpg,en,1.714,7,1000,1500
253235,/bJoWtA8OAIqavlb5mbx3EzvxFUA.jpg,en,3.334,1,1000,1500
253235,/mp6aEHJa1SUQD0BvmbytvVjHk8.jpg,en,2.278,3,2000,3000
253235,/uMqMA9czqzkxnwzjpqoBSObxCYK.jpg,en,0.0,0,500,750
11867,/eACq1joafhQTD12gGXNS13J06B.jpg,en,10.0,4,1125,1688
11867,/jW5TLptY7PL1Mllq1g1uMjwXLXT.jpg,en,8.362,6,1000,1500
11867,/tIsNMTzXMjSpwY1W6Am8s2ubByR.jpg,en,3.334,1,1463,2194
151368,/dHA9jV7xKWjOvv2lYWxDwAmZjhk.jpg,en,3.334,1,1000,1500
151368,/neFxcg7afkxJr11MyJO6lXOatDz.jpg,en,3.334,1,1400,2100
151368,/6BWNf7pztCW8Xax0OS5fc2QG7xw.jpg,en,3.334,3,1400,2100
972614,/w39qKYjltCix18BwtoZ1e45usdb.jpg,en,6.722,6,2000,3000
972614,/gCVVGodq80oZ9GhUeQ4VQevkyMX.jpg,,3.334,1,2000,3000
972614,/28niNi3ZrbUHxQK492ukZsyNbq4.jpg,en,3.334,1,2000,3000
566454,/dkliBAyyb4XVm3Wr234yMRV0qCd.jpg,en,3.334,1,2000,3000
566454,/sxqUqVZWrHUabrqVH554pLJUZTQ.jpg,en,0.0,0,2000,3000
72478,/6BUyvSeRG4FAkv0jo5FhJ87gHMw.jpg,en,5.786,7,1400,2100
72478,/K6NDuieTHJBXHxldZKF2jL6HKd.jpg,,3.334,1,1366,2048
