movie_id,provider_name,provider_type
8989,Netflix,flatrate
8989,Netflix Standard with Ads,flatrate
8989,Amazon Video,rent
8989,Apple TV Store,rent
8989,Google Play Movies,rent
8989,YouTube,rent
8989,Fandango At Home,rent
8989,Amazon Video,buy
8989,Apple TV Store,buy
8989,Google Play Movies,buy
8989,YouTube,buy
8989,Fandango At Home,buy
736769,Netflix,flatrate
736769,Netflix Standard with Ads,flatrate
2830,Amazon Video,rent
2830,Apple TV Store,rent
2830,Google Play Movies,rent
2830,YouTube,rent
2830,Fandango At Home,rent
2830,Amazon Video,buy
2830,Apple TV Store,buy
2830,Google Play Movies,buy
2830,YouTube,buy
2830,Fandango At Home,buy
375012,Netflix,flatrate
375012,Netflix Standard with Ads,flatrate
375012,Amazon Video,rent
375012,Apple TV Store,rent
375012,Fandango At Home,rent
375012,Amazon Video,buy
375012,Apple TV Store,buy
375012,Fandango At Home,buy
489930,Amazon Video,rent
489930,Apple TV Store,rent
489930,Google Play Movies,rent
489930,YouTube,rent
489930,Fandango At Home,rent
489930,Amazon Video,buy
489930,Apple TV Store,buy
489930,Google Play Movies,buy
489930,YouTube,buy
489930,Fandango At Home,buy
11953,Google Play Movies,rent
11953,YouTube,rent
11953,Apple TV Store,buy
11953,Google Play Movies,buy
11953,YouTube,buy
405177,MovieSphere+ Amazon Channel,flatrate
405177,Amazon Video,rent
405177,Apple TV Store,rent
405177,Google Play Movies,rent
405177,YouTube,rent
405177,Amazon Video,buy
405177,Apple TV Store,buy
405177,Google Play Movies,buy
405177,YouTube,buy
405177,Fandango At Home,buy
205601,Amazon Video,rent
205601,Apple TV Store,rent
205601,Google Play Movies,rent
205601,YouTube,rent
205601,Fandango At Home,rent
205601,Amazon Video,buy
205601,Apple TV Store,buy
205601,Google Play Movies,buy
205601,YouTube,buy
205601,Fandango At Home,buy
353979,Amazon Prime Video,flatrate
353979,Amazon Prime Video with Ads,flatrate
353979,Amazon Video,rent
353979,Apple TV Store,rent
353979,Google Play Movies,rent
353979,YouTube,rent
353979,Fandango At Home,rent
353979,Amazon Video,buy
353979,Apple TV Store,buy
353979,Google Play Movies,buy
353979,YouTube,buy
353979,Fandango At Home,buy
433502,fuboTV,flatrate
433502,YouTube TV,flatrate
433502,History Vault,flatrate
433502,Amazon Video,rent
433502,Apple TV Store,rent
433502,Google Play Movies,rent
433502,YouTube,rent
433502,Fandango At Home,rent
433502,Amazon Video,buy
433502,Apple TV Store,buy
433502,Google Play Movies,buy
433502,YouTube,buy
433502,Fandango At Home,buy
2768,fuboTV,flatrate
2768,Paramount Plus Premium,flatrate
2768,Paramount Plus Essential,flatrate
2768,Paramount+ Amazon Channel,flatrate
2768,Paramount+ Roku Premium Channel,flatrate
2768,Amazon Video,rent
2768,Apple TV Store,rent
2768,Google Play Movies,rent
2768,YouTube,rent
2768,Fandango At Home,rent
2768,Amazon Video,buy
2768,Apple TV Store,buy
2768,Google Play Movies,buy
2768,YouTube,buy
2768,Fandango At Home,buy
97434,Amazon Video,rent
97434,Apple TV Store,rent
97434,Google Play Movies,rent
97434,YouTube,rent
97434,Fandango At Home,rent
97434,Spectrum On Demand,rent
97434,Amazon Video,buy
97434,Apple TV Store,buy
97434,Google Play Movies,buy
97434,YouTube,buy
97434,Fandango At Home,buy
655082,Amazon Prime Video,flatrate
655082,Amazon Prime Video with Ads,flatrate
655082,Amazon Video,rent
655082,Apple TV Store,rent
655082,Google Play Movies,rent
655082,YouTube,rent
655082,Fandango At Home,rent
655082,Amazon Video,buy
655082,Apple TV Store,buy
655082,Google Play Movies,buy
655082,YouTube,buy
655082,Fandango At Home,buy
13320,Paramount Plus Premium,flatrate
13320,Paramount Plus Essential,flatrate
13320,Paramount+ Amazon Channel,flatrate
13320,Paramount+ Roku Premium Channel,flatrate
13320,Amazon Video,rent
13320,Apple TV Store,rent
13320,Google Play Movies,rent
13320,YouTube,rent
13320,Fandango At Home,rent
13320,JustWatch TV,rent
13320,Amazon Video,buy
13320,Apple TV Store,buy
13320,Google Play Movies,buy
13320,YouTube,buy
13320,Fandango At Home,buy
267192,Amazon Prime Video,flatrate
267192,Amazon Prime Video with Ads,flatrate
267192,Amazon Video,rent
267192,Apple TV Store,rent
267192,Google Play Movies,rent
267192,YouTube,rent
267192,Amazon Video,buy
267192,Apple TV Store,buy
267192,Google Play Movies,buy
267192,YouTube,buy
267192,Fandango At Home,buy
450489,Netflix,flatrate
450489,Netflix Standard with Ads,flatrate
805327,Netflix,flatrate
805327,Netflix Standard with Ads,flatrate
244566,Netflix,flatrate
244566,Netflix Standard with Ads,flatrate
244566,Amazon Video,rent
244566,Apple TV Store,rent
244566,Google Play Movies,rent
244566,YouTube,rent
244566,Fandango At Home,rent
244566,FlixFling,rent
244566,Amazon Video,buy
244566,Apple TV Store,buy
244566,Google Play Movies,buy
244566,YouTube,buy
244566,Fandango At Home,buy
244566,FlixFling,buy
291984,Amazon Prime Video,flatrate
291984,Amazon Prime Video with Ads,flatrate
291984,Amazon Video,rent
291984,Apple TV Store,rent
291984,Google Play Movies,rent
291984,YouTube,rent
291984,Fandango At Home,rent
291984,Amazon Video,buy
291984,Apple TV Store,buy
291984,Google Play Movies,buy
291984,YouTube,buy
291984,Fandango At Home,buy
339404,Amazon Prime Video,flatrate
339404,Amazon Prime Video with Ads,flatrate
339404,Amazon Video,rent
339404,Apple TV Store,rent
339404,Amazon Video,buy
339404,Apple TV Store,buy
339404,Google Play Movies,buy
339404,YouTube,buy
339404,Fandango At Home,buy
740925,Netflix,flatrate
740925,Netflix Standard with Ads,flatrate
648878,HBO Max,flatrate
648878,HBO Max Amazon Channel,flatrate
648878,Amazon Video,rent
648878,Apple TV Store,rent
648878,Google Play Movies,rent
648878,YouTube,rent
648878,Fandango At Home,rent
648878,Plex,rent
648878,Amazon Video,buy
648878,Apple TV Store,buy
648878,Google Play Movies,buy
648878,YouTube,buy
648878,Fandango At Home,buy
248705,France Channel Amazon Channel,flatrate
248705,Amazon Video,rent
248705,Apple TV Store,rent
248705,Google Play Movies,rent
248705,YouTube,rent
248705,Amazon Video,buy
248705,Apple TV Store,buy
86835,Netflix,flatrate
86835,Amazon Prime Video,flatrate
86835,Philo,flatrate
86835,Netflix Standard with Ads,flatrate
86835,Amazon Prime Video with Ads,flatrate
86835,Shout! Factory Amazon Channel,flatrate
86835,Amazon Video,rent
86835,Apple TV Store,rent
86835,Google Play Movies,rent
86835,YouTube,rent
86835,Fandango At Home,rent
86835,FlixFling,rent
86835,Spectrum On Demand,rent
86835,Amazon Video,buy
86835,Apple TV Store,buy
86835,Google Play Movies,buy
86835,YouTube,buy
86835,Fandango At Home,buy
86835,FlixFling,buy
2155,Paramount Plus Essential,flatrate
2155,Amazon Video,rent
2155,Apple TV Store,rent
2155,Google Play Movies,rent
2155,YouTube,rent
2155,Fandango At Home,rent
2155,Spectrum On Demand,rent
2155,Amazon Video,buy
2155,Apple TV Store,buy
2155,Google Play Movies,buy
2155,YouTube,buy
2155,Fandango At Home,buy
624808,Netflix,flatrate
624808,Netflix Standard with Ads,flatrate
75761,Magnolia Selects Amazon Channel,flatrate
75761,Monsters and Nightmares Amazon Channel,flatrate
75761,Warriors and Gangsters Amazon Channel,flatrate
75761,Amazon Video,rent
75761,Apple TV Store,rent
75761,Google Play Movies,rent
75761,YouTube,rent
75761,Fandango At Home,rent
75761,FlixFling,rent
75761,Amazon Video,buy
75761,Apple TV Store,buy
75761,Google Play Movies,buy
75761,YouTube,buy
75761,Fandango At Home,buy
75761,FlixFling,buy
10552,Amazon Video,rent
10552,Apple TV Store,rent
10552,Google Play Movies,rent
10552,YouTube,rent
10552,Fandango At Home,rent
10552,Amazon Video,buy
10552,Apple TV Store,buy
10552,Google Play Movies,buy
10552,YouTube,buy
10552,Fandango At Home,buy
763148,Amazon Video,rent
763148,Apple TV Store,rent
763148,Google Play Movies,rent
763148,YouTube,rent
763148,Fandango At Home,rent
763148,Amazon Video,buy
763148,Apple TV Store,buy
763148,Google Play Movies,buy
763148,YouTube,buy
763148,Fandango At Home,buy
11159,HBO Max,flatrate
11159,HBO Max Amazon Channel,flatrate
11159,Criterion Channel,flatrate
11159,Amazon Video,rent
11159,Apple TV Store,rent
11159,Google Play Movies,rent
11159,YouTube,rent
11159,Fandango At Home,rent
11159,Amazon Video,buy
11159,Apple TV Store,buy
11159,Google Play Movies,buy
11159,YouTube,buy
11159,Fandango At Home,buy
1175942,Netflix,flatrate
1175942,Netflix Standard with Ads,flatrate
1175942,Amazon Video,rent
1175942,Apple TV Store,rent
1175942,Google Play Movies,rent
1175942,YouTube,rent
1175942,Fandango At Home,rent
1175942,Amazon Video,buy
1175942,Apple TV Store,buy
1175942,Google Play Movies,buy
1175942,YouTube,buy
1175942,Fandango At Home,buy
